year_founded,count
1224,2
1701,1
1765,1
1766,1
1778,1
1780,1
1800,1
1813,1
1816,1
1817,2
1819,7
1828,2
1832,1
1836,1
1848,1
1850,1
1851,1
1852,1
1853,1
1858,1
1862,1
1864,1
1872,1
1875,3
1880,2
1884,1
1888,1
1890,3
1891,3
1892,1
1894,1
1895,1
1896,1
1897,1
1901,3
1902,1
1904,1
1905,2
1906,1
1907,1
1909,1
1910,2
1912,1
1913,1
1915,2
1916,2
1918,1
1919,5
1920,3
1921,1
1923,2
1924,2
1925,6
1926,2
1927,2
1928,3
1929,4
1930,2
1931,4
1932,3
1933,7
1934,3
1935,6
1936,2
1937,3
1938,4
1939,5
1940,7
1941,9
1942,4
1943,4
1944,3
1945,9
1946,4
1947,7
1949,5
1950,5
1952,3
1953,8
1954,2
1955,1
1956,3
1957,5
1958,1
1959,7
1960,4
1961,1
1962,1
1963,4
1964,1
1965,4
1966,5
1967,2
1968,5
1969,5
1970,6
1971,4
1973,3
1974,12
1975,6
1976,1
1978,3
1979,7
1980,5
1981,1
1982,6
1983,2
1984,4
1985,6
1986,4
1987,3
1988,3
1989,2
1990,10
1991,8
1992,2
1993,6
1994,4
1995,5
1996,5
1997,9
1998,1
1999,5
2000,17
2001,17
2002,9
2003,4
2004,12
2005,17
2006,4
2007,17
2008,20
2009,37
2010,25
2011,38
2012,39
2013,61
2014,40
2015,63
2016,81
2017,85
2018,113
2019,133
2020,197
2021,221
2022,359
2023,681
2024,2863
2025,4684
2026,104
2027,25
2028,15
2029,16
2030,130
2031,14
2032,37
2033,35
2034,20
2035,8
2037,1
2039,1
2040,4
2045,2
2047,1
2050,2
2060,1
2065,1
2070,1
2077,1
2079,1
2081,1
2082,1
